Year,AllocRate_F,AdminParam_G,Mortality_LA_K_perThousand,Mortality_PH_L_perThousand,Add_M_pctPrem,Add_N_pctCumPrem,Add_O_pctAvgCH_Q1,Add_P_pctAvgCH_P1,Add_Q_pctAvgCH_Q1
1,0.06,0.0165,4.68,0.0,0.0,0.0,0.0,0.0,0.0
2,0.04,0.0165,4.68,1.0,0.0,0.0,0.0,0.0,0.0
3,0.04,0.0165,4.68,2.0,0.0,0.0,0.0,0.0,0.0
4,0.04,0.0165,4.68,3.0,0.0,0.0,0.0,0.0,0.0
5,0.04,0.0165,4.68,4.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,4.68,5.0,0.0,0.0,0.25,0.0,0.15
7,0.0,0.0,4.68,6.0,0.0,0.0,0.25,0.0,0.15
8,0.0,0.0,4.68,7.0,0.0,0.0,0.25,0.0,0.15
9,0.0,0.0,4.68,8.0,0.0,0.0,0.25,0.0,0.15
10,0.0,0.0,4.68,9.0,0.0,0.0,0.25,2.75,0.15
11,0.0,0.0,4.68,10.0,0.0,0.0,0.25,0.0,0.15
12,0.0,0.0,4.68,11.0,0.0,0.0,0.25,0.0,0.15
13,0.0,0.0,4.68,12.0,0.0,0.0,0.25,0.0,0.15
14,0.0,0.0,4.68,13.0,0.0,0.0,0.25,0.0,0.15
15,0.0,0.0,4.68,14.0,0.0,0.0,0.25,2.75,0.15
16,0.0,0.0,4.68,15.0,0.0,0.0,0.25,0.0,0.15
17,0.0,0.0,4.68,16.0,0.0,0.0,0.25,0.0,0.15
18,0.0,0.0,4.68,17.0,0.0,0.0,0.25,0.0,0.15
19,0.0,0.0,4.68,18.0,0.0,0.0,0.25,0.0,0.15
20,0.0,0.0,4.934,19.0,0.0,0.0,0.25,3.5000000000000004,0.15
21,0.0,0.0,5.43,20.0,0.0,0.0,0.25,0.0,0.15
22,0.0,0.0,5.952,21.0,0.0,0.0,0.25,0.0,0.15
23,0.0,0.0,6.495,22.0,0.0,0.0,0.25,0.0,0.15
24,0.0,0.0,7.055,23.0,0.0,0.0,0.25,0.0,0.15
25,0.0,0.0,7.634,24.0,0.0,0.0,0.25,3.5000000000000004,0.15
26,0.0,0.0,8.236,25.0,0.0,0.0,0.25,0.0,0.15
27,0.0,0.0,8.867,26.0,0.0,0.0,0.25,0.0,0.15
28,0.0,0.0,9.534,27.0,0.0,0.0,0.25,0.0,0.15
29,0.0,0.0,10.25,28.0,0.0,0.0,0.25,0.0,0.15
30,0.0,0.0,11.025,29.0,0.0,0.0,0.25,3.5000000000000004,0.15
31,0.0,0.0,11.871,30.0,0.0,0.0,0.25,0.0,0.15
32,0.0,0.0,12.8,31.0,0.0,0.0,0.25,0.0,0.15
33,0.0,0.0,13.825,32.0,0.0,0.0,0.25,0.0,0.15
34,0.0,0.0,14.955,33.0,0.0,0.0,0.25,0.0,0.15
35,0.0,0.0,16.202,34.0,0.0,0.0,0.25,3.5000000000000004,0.15
36,0.0,0.0,17.576,35.0,0.0,0.0,0.25,0.0,0.15
37,0.0,0.0,19.086,36.0,0.0,0.0,0.25,0.0,0.15
38,0.0,0.0,20.745,37.0,0.0,0.0,0.25,0.0,0.15
39,0.0,0.0,22.561,38.0,0.0,0.0,0.25,0.0,0.15
40,0.0,0.0,24.546,39.0,0.0,0.0,0.25,3.5000000000000004,0.15
41,0.0,0.0,26.714,40.0,0.0,0.0,0.25,0.0,0.15
42,0.0,0.0,29.079,41.0,0.0,0.0,0.25,0.0,0.15
43,0.0,0.0,31.653,42.0,0.0,0.0,0.25,0.0,0.15
44,0.0,0.0,34.454,43.0,0.0,0.0,0.25,0.0,0.15
45,0.0,0.0,37.5,44.0,0.0,0.0,0.25,3.5000000000000004,0.15
46,0.0,0.0,40.809,45.0,0.0,0.0,0.25,0.0,0.15
47,0.0,0.0,44.403,46.0,0.0,0.0,0.25,0.0,0.15
48,0.0,0.0,48.305,47.0,0.0,0.0,0.25,0.0,0.15
49,0.0,0.0,52.539,48.0,0.0,0.0,0.25,0.0,0.15
50,0.0,0.0,57.133,49.0,0.0,0.0,0.25,3.5000000000000004,0.15
51,0.0,0.0,62.115,50.0,0.0,0.0,0.25,0.0,0.15
52,0.0,0.0,67.518,51.0,0.0,0.0,0.25,0.0,0.15
53,0.0,0.0,73.375,52.0,0.0,0.0,0.25,0.0,0.15
54,0.0,0.0,79.723,53.0,0.0,0.0,0.25,0.0,0.15
55,0.0,0.0,86.6,54.0,0.0,0.0,0.25,3.5000000000000004,0.15
56,0.0,0.0,94.052,55.0,0.0,0.0,0.25,0.0,0.15
57,0.0,0.0,102.123,56.0,0.0,0.0,0.25,0.0,0.15
58,0.0,0.0,110.864,57.0,0.0,0.0,0.25,0.0,0.15
59,0.0,0.0,120.326,58.0,0.0,0.0,0.25,0.0,0.15
60,0.0,0.0,130.57,59.0,0.0,0.0,0.25,3.5000000000000004,0.15
61,0.0,0.0,141.657,60.0,0.0,0.0,0.25,0.0,0.15
62,0.0,0.0,153.654,61.0,0.0,0.0,0.25,0.0,0.15
63,0.0,0.0,166.633,62.0,0.0,0.0,0.25,0.0,0.15
64,0.0,0.0,180.672,63.0,0.0,0.0,0.25,0.0,0.15
65,0.0,0.0,195.855,64.0,0.0,0.0,0.25,3.5000000000000004,0.15
66,0.0,0.0,212.272,65.0,0.0,0.0,0.25,0.0,0.15
67,0.0,0.0,0.0,66.0,0.0,0.0,0.25,0.0,0.15
68,0.0,0.0,0.0,67.0,0.0,0.0,0.25,0.0,0.15
69,0.0,0.0,0.0,68.0,0.0,0.0,0.25,0.0,0.15
70,0.0,0.0,0.0,69.0,0.0,0.0,0.25,3.5000000000000004,0.15
71,0.0,0.0,0.0,70.0,0.0,0.0,0.25,0.0,0.15
72,0.0,0.0,0.0,71.0,0.0,0.0,0.25,0.0,0.15
73,0.0,0.0,0.0,72.0,0.0,0.0,0.25,0.0,0.15
74,0.0,0.0,0.0,73.0,0.0,0.0,0.25,0.0,0.15
75,0.0,0.0,0.0,74.0,0.0,0.0,0.25,3.5000000000000004,0.15
76,0.0,0.0,0.0,75.0,0.0,0.0,0.25,0.0,0.15
77,0.0,0.0,0.0,76.0,0.0,0.0,0.25,0.0,0.15
78,0.0,0.0,0.0,77.0,0.0,0.0,0.25,0.0,0.15
79,0.0,0.0,0.0,78.0,0.0,0.0,0.25,0.0,0.15
80,0.0,0.0,0.0,79.0,0.0,0.0,0.25,3.5000000000000004,0.15
81,0.0,0.0,0.0,80.0,0.0,0.0,0.25,0.0,0.15
82,0.0,0.0,0.0,81.0,0.0,0.0,0.25,0.0,0.15
83,0.0,0.0,0.0,82.0,0.0,0.0,0.25,0.0,0.15
84,0.0,0.0,0.0,83.0,0.0,0.0,0.25,0.0,0.15
85,0.0,0.0,0.0,84.0,0.0,0.0,0.25,3.5000000000000004,0.15
86,0.0,0.0,0.0,85.0,0.0,0.0,0.25,0.0,0.15
87,0.0,0.0,0.0,86.0,0.0,0.0,0.25,0.0,0.15
88,0.0,0.0,0.0,87.0,0.0,0.0,0.25,0.0,0.15
89,0.0,0.0,0.0,88.0,0.0,0.0,0.25,0.0,0.15
90,0.0,0.0,0.0,89.0,0.0,0.0,0.25,3.5000000000000004,0.15
91,0.0,0.0,0.0,90.0,0.0,0.0,0.25,0.0,0.15
92,0.0,0.0,0.0,91.0,0.0,0.0,0.25,0.0,0.15
93,0.0,0.0,0.0,92.0,0.0,0.0,0.25,0.0,0.15
94,0.0,0.0,0.0,93.0,0.0,0.0,0.25,0.0,0.15
95,0.0,0.0,0.0,94.0,0.0,0.0,0.25,3.5000000000000004,0.15
96,0.0,0.0,0.0,95.0,0.0,0.0,0.25,0.0,0.15
97,0.0,0.0,0.0,96.0,0.0,0.0,0.25,0.0,0.15
98,0.0,0.0,0.0,97.0,0.0,0.0,0.25,0.0,0.15
99,0.0,0.0,0.0,98.0,0.0,0.0,0.25,0.0,0.15
100,0.0,0.0,0.0,99.0,0.0,0.0,0.25,3.5000000000000004,0.15
